Date,Open,High,Low,Close,Adj Close,Volume,daily_return,log_return,SMA_short,SMA_long,EMA_short,EMA_long,volatility,ATR,RSI,MACD,bollinger_h,bollinger_l,momentum,ROC,Day_of_week,Month,Quarter,lagged_return,lagged_close,volume_change,volume_sma,price_to_sma,high_low_range
2010-06-29,1.266667,1.666667,1.169333,1.592667,1.592667,281494500,,,,,,,,,,,,,,,1,6,2,,,,,,0.49733399999999994
2010-06-30,1.719333,2.028,1.553333,1.588667,1.588667,257806500,-0.002511510566866826,-0.0025146697001034355,,,,,,,,,,,,,2,6,2,,1.592667,-0.08415084486553026,,,0.47466699999999995
2010-07-01,1.666667,1.728,1.351333,1.464,1.464,123282000,-0.0784727069927178,-0.08172288428885405,,,,,,,,,,,,,3,7,3,-0.002511510566866826,1.588667,-0.5218041438055285,,,0.3766670000000001
2010-07-02,1.533333,1.54,1.247333,1.28,1.28,77097000,-0.12568306010928953,-0.13431233760759392,,,,,,,,,,,,,4,7,3,-0.0784727069927178,1.464,-0.37462889959604806,,,0.292667
2010-07-06,1.333333,1.333333,1.055333,1.074,1.074,103003500,-0.16093749999999996,-0.1754700818448528,,,,,,,,,,,-0.518667,-32.56594127962719,1,7,3,-0.12568306010928953,1.28,0.336024748044671,,,0.278
2010-07-07,1.093333,1.108667,0.998667,1.053333,1.053333,103825500,-0.019243016759776577,-0.019430573611708208,,,,,,,,,,,-0.535334,-33.69705545592625,2,7,3,-0.16093749999999996,1.074,0.00798031134864341,,,0.1100000000000001
2010-07-08,1.076,1.168,1.038,1.164,1.164,115671000,0.10506364084292419,0.09990292683428119,,,,,,,,,,,-0.30000000000000004,-20.491803278688526,3,7,3,-0.019243016759776577,1.053333,0.11409046910441067,,,0.1299999999999999
2010-07-09,1.172,1.193333,1.103333,1.16,1.16,60759000,-0.0034364261168384758,-0.00344234419097279,,,,,,,,,,,-0.1200000000000001,-9.37500000000001,4,7,3,0.10506364084292419,1.164,-0.4747257307363125,,,0.09000000000000008
2010-07-12,1.196667,1.204667,1.133333,1.136667,1.136667,33037500,-0.02011465517241362,-0.020319709235868406,,,,,,,,,,,0.06266700000000003,5.834916201117313,0,7,3,-0.0034364261168384758,1.16,-0.45625339455883074,,,0.07133400000000001
2010-07-13,1.159333,1.242667,1.126667,1.209333,1.209333,40201500,0.06392901351055302,0.061968672068379506,1.2722666999999999,,1.258324795631785,,,,,,,,0.15599999999999992,14.810131269028881,1,7,3,-0.02011465517241362,1.136667,0.21684449489216795,,0.9505341922412966,0.11599999999999988
2010-07-14,1.196,1.343333,1.184,1.322667,1.322667,62928000,0.09371612285449915,0.08958118481982957,1.2452667,,1.2700233782441877,,,,,,,,0.1586670000000001,13.631185567010329,2,7,3,0.06392901351055302,1.209333,0.565314727062423,,1.0621556008845334,0.15933300000000017
2010-07-15,1.329333,1.433333,1.266667,1.326,1.326,56097000,0.0025199086391358705,0.0025167389930567633,1.219,,1.2802009458361534,,,,,,,,0.16600000000000015,14.310344827586219,3,7,3,0.09371612285449915,1.322667,-0.10855263157894735,,1.0877768662838392,0.16666599999999998
2010-07-16,1.38,1.42,1.336667,1.376,1.376,39319500,0.037707390648566985,0.037013847747481024,1.2102,,1.2976189556841256,,,,,,,,0.2393329999999998,21.055682974873015,4,7,3,0.0025199086391358705,1.326,-0.2990801647146907,,1.1370021484052222,0.08333299999999988
2010-07-19,1.424667,1.483333,1.394667,1.460667,1.460667,37297500,0.06153125000000004,0.05971244120028566,1.2282667,,1.327264054650648,,,0.20961907142857145,55.14231089373954,,,,0.25133399999999995,20.782861296268273,0,7,3,0.037707390648566985,1.376,-0.05142486552473968,,1.1892099655555262,0.08866599999999991
2010-07-20,1.456667,1.456667,1.336667,1.353333,1.353333,27379500,-0.07348286775835977,-0.07632274207135509,1.2562,,1.3320038628959847,,,0.18266664285714285,46.535175107482004,,,,0.03066599999999986,2.318497399572217,1,7,3,0.06153125000000004,1.460667,-0.2659159461089885,,1.0773228785225282,0.11999999999999988
2010-07-21,1.377333,1.393333,1.3,1.348,1.348,18787500,-0.003940641364689856,-0.0039484261499671035,1.2856667,,1.334912251460351,,,0.15542849999999997,46.149730641093235,,,,0.02200000000000002,1.6591251885369473,2,7,3,-0.07348286775835977,1.353333,-0.3138114282583685,,1.0484832499745076,0.09333299999999989
2010-07-22,1.366667,1.416667,1.358,1.4,1.4,14367000,0.03857566765578624,0.03785022413109753,1.3092667,,1.3467463875584689,,,0.13271421428571425,50.45861692600017,,,,0.02400000000000002,1.744186046511631,3,7,3,-0.003940641364689856,1.348,-0.2352894211576846,,1.0693008536763364,0.0586669999999998
2010-07-23,1.412667,1.437333,1.404,1.419333,1.419333,9804000,0.013809285714285746,0.013714806329894347,1.3352,,1.359943953456929,,,0.11419035714285711,51.996525150678536,,,,-0.04133399999999998,-2.8298030968044063,4,7,3,0.03857566765578624,1.4,-0.317602839841303,,1.0630115338526063,0.03333300000000006
2010-07-26,1.433333,1.433333,1.353333,1.396667,1.396667,13833000,-0.015969472984845634,-0.0160983590217145,1.3612,,1.3666208710102146,,,0.10004749999999997,50.03542313366279,,,,0.043334000000000206,3.202020493108515,0,7,3,0.013809285714285746,1.419333,0.4109547123623012,,1.0260556861592713,0.08000000000000007
2010-07-27,1.394,1.412,1.350667,1.37,1.37,9295500,-0.01909331286555782,-0.019277944089359164,1.3772667,,1.3672352580992664,,,0.09657128571428567,47.7534296851858,,1.6232088432412655,1.0263245567587347,0.02200000000000002,1.6320474777448135,1,7,3,-0.015969472984845634,1.396667,-0.32801995228800696,74264325.0,0.9947238250950233,0.06133299999999986
2010-07-28,1.37,1.393333,1.367333,1.381333,1.381333,7008000,0.008272262773722394,0.008238235136268037,1.3831333,,1.3697984838993997,,0.06691493738070102,0.08914271428571426,48.821692586089604,,1.58789129941962,1.0405087005803801,-0.01866699999999999,-1.333357142857139,2,7,3,-0.01909331286555782,1.37,-0.24608681620138773,60540000.0,0.9986983900973246,0.026000000000000023
2010-07-29,1.384667,1.392,1.333333,1.356667,1.356667,9240000,-0.017856664540700784,-0.01801801848969225,1.3861999999999999,,1.367410941372236,,0.06697420240002223,0.0869046428571428,46.588934556252454,,1.546860004458364,1.058339995541636,-0.06266599999999989,-4.415172478903817,3,7,3,0.008272262773722394,1.381333,0.31849315068493156,48111675.0,0.9786949935074305,0.0586669999999998
2010-07-30,1.346667,1.362667,1.303333,1.329333,1.329333,6403500,-0.020147906597565934,-0.020353643807415434,1.3815332999999999,,1.3604876793045566,,0.06487352166522709,0.08604749999999994,44.177796779146334,,1.5291358859204491,1.0625974140795513,-0.067334,-4.821048968723396,4,7,3,-0.017856664540700784,1.356667,-0.3069805194805195,42267750.0,0.9622156773202646,0.059334
2010-08-02,1.366667,1.398,1.355333,1.394667,1.394667,10771500,0.04914795615545531,0.04797836442102557,1.3749333,,1.3667021012491827,,0.058943166071530904,0.08080942857142852,50.740062964621,,1.5386337590589156,1.0645662409410845,0.024666999999999994,1.8005109489050986,0,8,3,-0.020147906597565934,1.329333,0.6821269618177559,38951475.0,1.0143524780438442,0.04266700000000001
2010-08-03,1.4,1.463333,1.388,1.463333,1.463333,18457500,0.049234691865513325,0.048061033528291795,1.3859333,,1.384271355567513,,0.044605333807853115,0.07480942857142851,56.52470619943449,,1.5436432924010168,1.0984900075989834,0.08200000000000007,5.936294868797032,1,8,3,0.04914795615545531,1.394667,0.7135496448962539,34724175.0,1.0558466269624953,0.0753330000000001
2010-08-04,1.463333,1.478667,1.39,1.417333,1.417333,13695000,-0.0314350868872636,-0.03193977400039055,1.3928666,,1.3902825636461469,,0.04519904994186509,0.06923807142857138,52.10997414010218,-0.006340568070189789,1.5282972885285466,1.1502360114714536,0.06066599999999989,4.471694232998957,2,8,3,0.049234691865513325,1.463333,-0.25802519301097115,30217650.0,1.0175655012475708,0.08866700000000005
